"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"D.scale",0.185032738157351,0.00265544517993475,0.180646082173653,0.183700514017807,0.184793436599544,0.186380732726761,0.18955304534782,1.21989851338742,10
"D.sum",29.224890298915,0.837441312024296,27.8316188169905,28.7871035815575,29.2837651871467,29.6332480903205,30.6438202233794,1.21989851338742,10
"N[1]",35423.1012062552,3939.25446628893,30722.743503053,33197.4088328716,33732.4272951946,37050.3617459748,44023.6347928107,1.09499418024787,14
"N[2]",16629.4256334301,3370.41136691232,12075.586642826,14109.9667349773,16703.8088783715,18998.6330626995,22106.2190245258,2.49506404805461,4
"N[3]",12834.3241512903,6450.72983841263,5798.26042776162,6666.29812722131,10909.0479332704,19508.0735318498,22063.7220853157,7.04648298857039,3
"N[4]",27391.980969384,1666.48539478969,24720.7080572172,26348.8818875243,27197.6127870435,28581.6595237164,30246.454926387,1.67300609844782,5
"N[5]",97503.158110488,6375.21229656147,91018.9961690774,92529.2522446579,95933.2859379603,100931.897465888,110553.755856913,1.59473910006635,6
"N[6]",144900.444002304,9129.47648041641,133915.136259817,137557.415825108,142206.071541234,151163.217657156,160726.257867199,2.7792431029852,4
"N[7]",130514.170763718,11572.8229491147,114633.238099988,120750.977025424,131848.363323589,139783.115863951,147973.534564285,2.02705811618216,4
"N[8]",96274.5439025227,2006.24489523986,93000.731168344,94877.8366341502,96440.2589644195,98019.4391272393,98707.3156446311,1.53376957914924,6
"N[9]",85818.8735052952,6860.38814739547,76068.9663566129,80011.2308371532,86660.5899316491,89653.9416158287,96730.8942236718,1.52161083756186,6
"N[10]",122495.374880484,4624.23610045194,116042.666966309,120198.899560565,121887.392129451,124586.500912145,131738.439979393,1.88866646642568,5
"N[11]",174036.995235869,10248.3118885988,158185.863020045,167288.458441957,173497.195766761,179495.40932151,191015.13553151,2.5715827974224,4
"N[12]",177714.04844992,10600.7932884019,163171.997370178,167588.315585977,180214.214373541,185028.009070743,193748.944150126,1.97938520123252,5
"N[13]",203898.746432085,8570.49545442263,188607.623463969,199655.183019133,207530.329939467,209072.474857145,214541.263997528,1.67912136194114,6
"N[14]",192704.101081042,7853.14425599831,175889.482147075,189948.515925971,194862.661479153,197764.018710599,201824.290230252,1.1916663422277,11
"N[15]",174058.946434564,8866.38416433589,163107.528800035,166976.792139445,171772.481684219,179806.654656538,190416.848844932,1.38475752222207,7
"N[16]",176661.812778815,8384.71319103226,165410.396631803,170333.475629844,175050.798824085,183559.275096102,191163.19500803,1.32828150797264,8
"N[17]",191985.409692573,9566.92293478802,179456.128053884,184883.89083973,190675.614349174,197188.237023299,210387.283499333,1.58384011415474,6
"N[18]",139386.466669891,8875.51493002529,127464.052474355,133096.81183703,139071.955274357,144913.501227601,153115.314766126,2.20411150854029,4
"N[19]",114752.282884144,10932.1157508644,98805.2117753031,107640.697938939,113281.381085373,123271.295740231,131806.190307432,3.74926128298432,3
"N[20]",127534.674020951,11126.2305578933,106725.121124953,122365.357256689,128525.479519852,133909.480366658,143460.457682266,2.25526633483649,4
"N[21]",182839.678502301,8595.92670701051,170444.880092305,177803.114683041,182287.159128698,187475.605664628,198514.43824638,1.52758275844547,6
"N[22]",257768.175239995,12102.5854902365,238556.735618948,250275.281166432,256075.126655596,265455.820600649,279532.304170052,1.39445057789819,7
"N[23]",213509.644825525,8649.03736615354,201356.071969379,208438.363986612,210331.370190807,219818.148473141,227606.899325711,1.30847882144689,8
"N[24]",209839.644022388,12057.6993401947,189502.149877178,205436.271857685,210497.316258524,214389.575836122,232131.945532281,1.21590677328569,10
"N[25]",152696.955837039,11341.0161187212,133215.902502653,145929.663054201,151401.300005593,163972.406919812,167593.297455959,2.17060734709816,4
"N[26]",120032.299273965,7625.02416275878,109888.230565394,114312.818777396,120274.617948457,123239.188747184,134044.486535133,1.34475433268138,8
"N[27]",143215.703128294,7399.6565675229,130428.927674927,137976.004133879,145136.850528512,148253.324479334,153190.033588194,1.13977551639071,14
