"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
12598.583317,9193.23921,4287.050838,2418.223333,2073.192798,500
24947.422333,18215.072409,8509.967086,4813.893294,4134.008009,1000
37060.127067,27057.926441,12670.874899,7192.511766,6178.304063,1500
48953.013837,35772.726225,16767.407397,9539.489184,8201.426608,2000
60613.930887,44329.876009,20796.20528,11872.131776,10205.891637,2500
71963.173798,52709.355914,24769.701281,14182.63059,12206.941559,3000
83042.550934,60819.029968,28689.028342,16465.151655,14191.8682,3500
94085.9324,68883.809905,32531.770154,18749.371552,16163.760256,4000
105092.044548,76828.570802,36336.37033,21006.303971,18106.264919,4500
115647.465304,84633.441268,40107.286656,23231.917622,20027.697267,5000
126012.612227,92144.569741,43826.812042,25424.703453,21932.314233,5500
136287.351223,99594.668179,47437.713273,27604.175595,23815.081923,6000
146202.819363,106825.347476,51034.592565,29734.795373,25698.014486,6500
156030.601008,113911.564545,54538.899592,31897.60507,27533.451653,7000
165504.423058,120934.691847,57997.885544,34002.962897,29392.90576,7500
174913.339246,128043.021765,61445.190394,36077.06425,31213.491605,8000
184179.87485,134461.813564,64797.104417,38121.982602,33020.232898,8500
193461.753906,141040.757417,68110.519985,40130.165656,34804.941422,9000
202589.220848,147552.583525,71358.728214,42148.261658,36584.253857,9500
211269.54466,153976.299654,74473.538522,44165.169612,38376.198792,10000
219148.876377,160614.97927,77608.634169,46134.898975,40115.379088,10500
227494.080035,166503.509283,80737.268915,48131.06209,41793.21745,11000
235707.754872,172501.091553,83800.706063,50056.1341,43481.983491,11500
243786.787187,178399.031984,86797.372051,51945.760786,45168.442788,12000
251765.661866,184056.060953,89782.744355,53814.350355,46854.43935,12500
259352.794383,189728.386678,92647.510399,55667.197523,48543.985276,13000
266931.027666,195048.554883,95447.855595,57541.102552,50185.305219,13500
274335.367181,200576.966239,98203.925864,59443.587898,51800.943413,14000
281365.870627,205962.955312,100968.357017,61247.684774,53409.407321,14500
287867.511918,210908.349216,103629.220989,63029.823056,55005.073682,15000
294021.419111,215816.812781,106417.04062,64775.915059,56614.557203,15500
300406.336535,220720.240076,109028.933103,66581.598347,58204.498417,16000
307481.552178,225572.18803,111668.016817,68269.538821,59760.625044,16500
314200.110987,229954.872216,114257.006383,69991.571826,61289.368843,17000
320452.797893,234478.590143,116761.624786,71732.817174,62828.616726,17500
326527.081465,238858.228699,119291.442441,73407.973102,64342.434705,18000
332354.190634,243183.170113,121701.368669,75035.682303,65882.291482,18500
337615.368774,247461.601904,124060.837658,76601.53705,67378.036621,19000
342665.782573,251794.148796,126399.251309,78233.51781,68796.93663,19500
348297.314342,255646.043203,128728.651195,79833.181716,70249.099394,20000
353946.390273,259374.103671,130977.660716,81376.739957,71689.02596,20500
358681.323341,263021.669342,133178.674358,82938.763826,73067.475012,21000
363977.381672,266594.29184,135359.320172,84472.584488,74463.133137,21500
368814.653798,270387.734318,137622.9737,85948.243822,75809.115166,22000
372970.237847,273957.303713,139718.163142,87463.716827,77193.304899,22500
377778.172377,277322.799648,141728.170787,88874.237027,78510.015676,23000
381898.044205,281051.773034,143789.332057,90348.485134,79808.438237,23500
385910.477433,284488.661483,145708.875305,91716.142058,81118.139982,24000
390282.330449,287800.760336,147755.556361,93123.958556,82481.179013,24500
394455.285427,291048.696937,149646.065361,94485.426826,83746.703957,25000
398540.187244,294322.679241,151547.930982,95857.636166,85116.360098,25500
402968.308373,297288.611502,153481.825282,97222.821494,86447.216015,26000
406611.50078,300160.03238,155378.128639,98533.365505,87673.469592,26500
410121.687132,303174.884701,157201.863754,99883.674065,88853.090396,27000
413654.44762,306098.392526,159008.533244,101139.328859,90051.876321,27500
417154.843304,308945.329275,160787.301436,102376.394245,91245.09477,28000
419814.378874,311752.828165,162431.253882,103642.827429,92397.003435,28500
422653.647336,314283.054823,164017.70452,104936.516727,93586.698559,29000
426000.503749,316702.646017,165665.504127,106172.953911,94734.153421,29500
429554.562274,319563.262819,167283.332152,107382.520196,95840.986912,30000
432356.620143,322278.588621,168838.84141,108575.375618,96922.846918,30500
435024.924804,325075.580547,170381.295974,109820.753594,98063.697543,31000
437997.31446,327292.111839,171829.442776,111024.945377,99091.44337,31500
440783.969685,329522.631157,173256.143735,112178.300747,100224.652044,32000
443117.234136,331895.448938,174618.344479,113225.008171,101324.353664,32500
445344.852678,334231.034389,176087.01847,114353.180782,102422.455241,33000
448287.841959,335693.471508,177405.793353,115540.455965,103377.092866,33500
450704.598746,337447.927511,178750.708609,116648.900413,104328.592956,34000
453650.675093,339578.295627,180037.663141,117738.584956,105288.408592,34500
456115.902737,341863.077726,181375.666558,118778.219063,106249.711952,35000
458835.888538,343204.327143,182704.609698,119688.448266,107233.076921,35500
460974.153058,345160.095862,183837.059973,120656.709577,108234.799753,36000
463666.622361,347089.634687,185064.188035,121713.020316,109092.543486,36500
466338.50601,348990.307291,186217.730023,122696.125901,110069.702664,37000
468399.717878,350153.521981,187316.110766,123637.24366,110883.474025,37500
470880.552971,351558.440182,188382.630841,124537.794854,111841.040434,38000
474082.269049,352916.885032,189348.323573,125512.36922,112706.46756,38500
476255.033049,354463.207525,190374.230773,126457.317879,113557.181456,39000
478565.745833,355945.807067,191451.120109,127425.161551,114438.825385,39500
480190.835586,357405.433654,192461.29063,128347.93762,115360.504402,40000
481740.813256,358692.215001,193455.844829,129283.902523,116247.456465,40500
484062.181285,359912.875417,194487.072833,129938.207151,117100.037636,41000
485684.293446,361475.590702,195529.97179,130805.808913,117939.254101,41500
487855.807597,362852.507676,196395.104386,131573.002551,118761.935476,42000
489983.38577,363820.271786,197268.63117,132362.796179,119593.249727,42500
492071.345032,364920.443464,198064.537114,133198.521797,120357.874247,43000
493913.534619,365866.64721,198934.257567,133991.955198,121042.25711,43500
494380.856378,366832.971258,199835.870882,134680.10469,121884.063048,44000
496171.908528,367967.272471,200671.946917,135389.024937,122636.626432,44500
498224.188966,368531.575883,201544.550427,136163.309295,123495.26274,45000
500412.690037,369405.866751,202372.239136,136787.834407,124210.54484,45500
502572.949845,370339.091418,203198.215284,137471.997057,124674.361929,46000
503318.103087,371244.212044,203844.796125,138178.70639,125274.203299,46500
503680.64452,371903.641028,204551.270313,138972.173633,126057.208887,47000
503824.181959,372789.429791,205243.844168,139694.702357,126568.378143,47500
506141.350149,373069.556181,205930.192542,140258.370746,127254.000948,48000
506905.561759,373573.36188,206523.694203,140917.232338,127811.329457,48500
507434.552054,374351.028791,207157.653423,141559.860556,128362.177101,49000
508235.25705,374746.666985,207624.770956,142124.394734,128716.37462,49500
508443.608193,375232.158084,208198.808576,142606.489652,129387.073126,50000
508560.91161,375597.248847,208682.432884,143183.583173,129932.201489,50500
508983.980053,375659.46212,209399.34105,143705.885979,130573.276606,51000
509952.835922,376084.60467,209801.886328,144214.234942,131106.997488,51500
510770.266645,376578.490098,210401.67519,144556.349604,131541.030085,52000
511953.526165,377394.103896,210965.238548,145000.933981,131968.616131,52500
512882.853474,377631.895893,211578.733152,145577.836877,132479.007118,53000
513913.23363,378073.385952,211979.437051,146055.558372,132737.851329,53500
515413.006166,378467.68608,212505.735184,146404.207496,133231.011755,54000
515741.607476,379004.361993,212961.623398,146877.315538,133464.694645,54500
516754.847113,379686.137593,213460.715043,147423.98976,133737.519647,55000
517740.705058,380431.386464,213923.030592,147922.706724,134116.90965,55500
518663.634099,381163.648587,214156.923923,148145.189792,134487.855983,56000
519566.751707,381328.637061,214494.820393,148513.029614,134969.119225,56500
520430.687899,381647.930207,214782.562113,149022.773418,135349.993584,57000
521075.568648,381715.083361,215164.023496,149370.731781,135653.637785,57500
521485.528186,382595.839152,215487.040552,149679.179563,136022.1502,58000
520997.644553,383119.529225,215816.418627,150037.836015,136289.99787,58500
521203.939961,383264.683155,215948.100781,150375.864133,136603.870006,59000
520433.728146,383530.243629,216319.178599,150723.395622,136895.782372,59500
520252.455889,383848.382753,216599.157741,150969.179838,137159.741613,60000
519711.973567,384101.563105,216865.459136,151228.66846,137387.216854,60500
520388.346873,384157.157696,217010.190175,151472.678209,137540.235024,61000
520577.031911,384009.09751,217232.529995,151771.506886,137631.305031,61500
519309.82598,383793.476701,217583.872808,152092.503906,137898.825626,62000
519890.837514,383845.589366,217878.075684,152245.764087,138196.244728,62500
519647.194673,383997.404125,218085.143856,152542.163878,138400.647004,63000
520049.35877,384213.568394,218257.554856,152757.132504,138481.364537,63500
520634.043676,384190.214043,218458.648123,152894.35879,138688.139511,64000
519826.716887,384711.603354,218543.521827,153097.002843,138810.465046,64500
520037.919525,384612.021592,218505.015933,153346.813524,138966.169926,65000
520602.634704,384493.455466,218687.679491,153531.566563,138946.455895,65500
521244.036348,384240.896263,218758.735083,153623.185138,139059.304427,66000
521897.49686,384424.989485,218852.640968,153690.546123,139339.921054,66500
522768.134523,384308.177742,218994.323009,153700.909794,139391.391513,67000
522520.180945,384370.624456,219134.615318,153746.23692,139526.320193,67500
521895.514366,384320.023392,219252.46636,153810.148533,139548.904309,68000
522060.865316,384138.254675,219338.33895,153923.426962,139574.063438,68500
522324.421523,384036.038162,219492.746339,153876.925014,139584.418611,69000
521876.901114,384176.584773,219483.851013,153835.007345,139587.74368,69500
521364.925362,384059.365237,219562.697645,153802.305158,139689.713163,70000
521232.32314,384069.864248,219674.702125,153903.892328,139844.763452,70500
520658.387952,384184.67042,219673.365434,153843.745309,139767.221634,71000
520136.357014,384289.747876,219738.631072,153867.878426,139654.089106,71500
520433.259606,383886.642642,219760.892154,153969.299519,139590.719958,72000
519925.96575,383794.200449,219642.090155,153934.620417,139452.878714,72500
520183.34186,383763.335468,219636.97272,153897.540242,139419.316097,73000
518739.637548,384035.144681,219596.000792,153887.038821,139414.035701,73500
518543.473832,383878.978389,219507.543686,153747.641481,139304.921,74000
517957.559531,383231.996583,219536.797493,153651.789111,139316.724581,74500
517332.104102,382893.785717,219529.229187,153596.956384,139247.953147,75000
517091.08713,382623.794172,219457.705466,153485.581603,139112.117955,75500
516029.240475,382387.566346,219351.275476,153452.46762,138863.970973,76000
515489.152961,382226.98321,219291.94127,153371.283572,138765.71772,76500
515689.17926,381496.364122,219246.648467,153122.635929,138639.771783,77000
514844.941508,380814.156648,219175.305726,153037.116075,138507.857479,77500
514497.809988,380612.651705,218998.069584,152780.299266,138328.059561,78000
514360.031772,379996.187245,218897.096436,152617.290859,138205.250068,78500
514500.151336,379292.343815,218838.830307,152396.262988,138061.956239,79000
513245.57167,378503.654585,218709.016822,152218.815055,137909.774754,79500
512153.240355,378080.333896,218457.670751,152113.556357,137653.821858,80000
511365.21328,377662.61893,218282.055922,151970.683937,137511.063971,80500
510204.254807,377275.158162,218109.639669,151672.54007,137263.730419,81000
509284.256888,376898.461523,217808.353113,151424.668486,137087.262369,81500
508708.915694,376408.219465,217645.134235,151320.553144,136775.359075,82000
507716.662995,375763.656295,217421.896934,151146.066537,136479.658777,82500
506590.324388,375320.550585,217214.072168,150850.443512,136095.852026,83000
506346.199673,374932.929422,217063.989789,150625.880278,135845.984552,83500
506119.876732,374694.60062,216933.599133,150493.480934,135565.792876,84000
506590.534591,374554.361662,216900.849773,150086.848028,135374.257752,84500
506304.380703,374152.017599,216608.799219,149840.419736,134972.934234,85000
505945.846854,374016.111826,216473.130877,149475.653293,134548.946333,85500
505090.479332,373419.34923,216268.681337,149216.270649,134221.845233,86000
505111.971786,372642.478783,215997.354127,148947.303228,133896.329034,86500
503225.769002,372528.615,215715.475905,148572.244552,133606.010301,87000
503345.496861,371989.178727,215543.069016,148260.70577,133247.429619,87500
503319.025103,371932.36277,215198.83204,148032.706196,132929.87595,88000
502636.231827,371142.050413,214898.05986,147684.975479,132605.611814,88500
501707.311813,371015.195299,214491.011295,147323.213728,132384.246053,89000
501671.571102,370513.930927,214122.435765,147042.574844,131994.341834,89500
501536.197401,370151.351031,213874.622033,146643.809015,131615.739256,90000
500737.107847,369478.955792,213619.730195,146228.465873,131279.445406,90500
499743.737626,369177.012199,213340.114161,145869.893336,130832.644083,91000
497974.873222,369177.461153,213171.900638,145371.751542,130492.192966,91500
495999.693029,368359.595495,212949.616933,145065.242036,130004.61187,92000
494737.921935,367757.526193,212648.707406,144789.621087,129606.047543,92500
493613.513786,367524.064701,212518.197231,144424.880932,129237.345475,93000
492809.053246,367453.08808,212057.665883,144085.795423,128853.910585,93500
492177.030059,366280.670722,211727.753998,143534.459228,128436.018169,94000
492077.066153,365303.974832,211432.716064,143034.0723,127920.058503,94500
492100.034308,365272.181424,211015.035531,142447.26958,127377.801029,95000
492099.94417,364714.401003,210835.647291,141932.598147,126994.819593,95500
492103.220795,364671.92203,210459.306903,141509.946198,126561.769184,96000
492177.034074,364783.972928,210118.809137,141085.326232,126038.23774,96500
492528.884803,364534.665577,209832.128983,140680.766639,125575.917829,97000
492350.97991,364298.580923,209504.570844,140307.763391,124943.744378,97500
491781.483095,363896.373152,209153.982287,139902.229359,124434.993889,98000
491172.083848,363013.869289,208889.445695,139297.693913,123960.897672,98500
491160.641511,362639.169252,208513.054749,138865.957174,123599.120356,99000
490491.015826,361972.533317,208097.896701,138351.428633,123073.526256,99500
491113.528201,360872.902102,207643.325537,137825.646703,122580.420574,1e+05
490779.025786,360434.167931,207124.618007,137359.964766,122206.387963,100500
489464.355136,360342.426267,206693.494438,136878.471127,121720.370745,101000
488916.965285,359588.820282,206319.364188,136413.635044,121411.307496,101500
488216.448078,359350.428287,205933.027811,135885.094994,120984.796162,102000
488532.359036,359097.886211,205455.025059,135507.460143,120469.877784,102500
486690.826785,359041.631019,205192.330616,135029.686414,120173.342995,103000
485349.646557,358108.970043,204876.407358,134560.322835,119707.536067,103500
484677.537797,357436.448504,204348.727163,134124.423302,119200.942991,104000
484621.562512,357080.542009,204003.702076,133578.05115,118691.632513,104500
484811.546846,356385.844929,203432.67718,132941.068433,118177.298727,105000
483943.18031,355842.188966,203020.75274,132455.780917,117708.240151,105500
483226.230784,355261.922038,202550.970836,131882.769215,117115.62848,106000
481816.270555,354978.925123,202038.613734,131437.061146,116574.245209,106500
481450.790406,354178.425059,201590.52554,130950.413672,116135.700916,107000
480578.915083,353555.340529,201086.568781,130490.206988,115653.910787,107500
480129.855116,353218.604885,200702.816783,129830.865629,115042.337534,108000
480332.27311,352911.251917,200343.314075,129339.144383,114471.85718,108500
479300.989708,352363.84898,199979.2887,128776.747756,113829.639949,109000
478413.587181,351426.473275,199510.645663,128237.435239,113272.221182,109500
478192.971029,351374.449255,199141.202117,127592.484243,112752.851393,110000
477499.446908,350880.364706,198612.501027,126997.626231,112232.868196,110500
476495.397429,350425.397261,198142.364106,126460.470424,111593.190994,111000
475175.289285,350437.760708,197626.144219,125959.399968,111053.023903,111500
473907.33722,349846.018583,197206.852599,125472.436207,110483.784692,112000
473263.023235,349182.021441,196752.728802,124957.522425,109933.324685,112500
472255.552526,348593.051503,196139.829479,124398.513875,109471.511443,113000
471384.488213,347991.024122,195680.944189,123849.61468,108909.874023,113500
470624.473006,347538.315554,195232.490538,123265.356385,108258.893092,114000
470113.686978,347363.476241,194733.224509,122696.577175,107599.934337,114500
468874.55926,346833.774959,194222.216075,122185.978026,106973.593189,115000
467834.438671,346449.601378,193719.738585,121655.599808,106453.261225,115500
467774.304261,346192.806121,193222.444203,121102.381823,105890.102208,116000
466655.99785,345771.358852,192651.037505,120535.658646,105462.158559,116500
465716.936738,345193.447808,192147.491432,120005.049876,104898.563864,117000
464989.506477,344840.673667,191610.982476,119463.587913,104366.015341,117500
464804.114047,344266.039104,191192.508017,118954.478693,103962.872439,118000
463932.928069,343587.697659,190637.298161,118426.407862,103489.217225,118500
462628.542,343233.007942,190234.505673,117800.806447,102904.722095,119000
462668.973622,343297.113083,189752.179581,117240.422124,102258.913222,119500
462184.822044,343316.105008,189252.422148,116677.855839,101615.115515,120000
461126.488934,343055.519687,188725.668731,116075.256584,101095.705223,120500
460273.861815,342882.814991,188310.220049,115548.844377,100586.165497,121000
458994.455585,343188.394876,187745.835807,114978.445193,99985.168621,121500
458526.544123,342923.784205,187232.974261,114444.252705,99354.310065,122000
457857.979979,342432.462485,186620.155981,113951.569342,98782.50225,122500
457259.743155,341887.462408,186022.797668,113361.33106,98232.054697,123000
456193.625713,341683.268324,185498.70752,112701.153864,97598.371034,123500
455235.502658,341067.414088,185008.071462,112121.067315,97032.235576,124000
454729.691732,340686.065778,184380.234777,111585.950251,96475.080793,124500
454206.9952,339951.394821,183816.709423,111030.064689,95875.463742,125000
453825.639632,339710.834027,183307.422355,110383.367503,95374.582727,125500
453852.132432,339328.357347,182806.778754,109759.2921,94882.082831,126000
453686.171007,338795.279167,182290.153319,109186.117407,94416.493553,126500
453068.729454,338519.279273,181844.583549,108621.184967,93801.411983,127000
452946.879176,338288.274371,181289.995858,108045.345131,93241.767374,127500
452674.451496,337628.438668,180751.693787,107510.217606,92738.811112,128000
452224.224117,337554.851076,180216.562264,106983.918554,92197.942822,128500
451943.219459,337010.950379,179762.63556,106344.134483,91577.883252,129000
451578.562098,336693.268493,179299.969827,105769.756347,90907.447312,129500
450662.206698,335523.361531,178767.960402,105105.673619,90306.163511,130000
449994.284076,335531.342062,178185.927083,104524.314123,89897.842802,130500
448881.354302,335356.085543,177608.321381,104024.560045,89362.189228,131000
447779.439692,334927.748232,177123.190603,103497.94271,88820.220139,131500
446642.177537,334334.151379,176602.362299,102963.53172,88342.495805,132000
445807.131861,334110.824386,176012.370044,102337.351031,87848.711716,132500
445001.683964,333532.20776,175412.805586,101748.121232,87249.528771,133000
443801.092868,333260.510964,174853.465121,101168.764208,86699.072892,133500
443020.83398,333485.616812,174361.309512,100555.569108,86167.863312,134000
442363.52684,333203.430761,173749.250223,100017.326559,85699.130159,134500
442489.381755,332778.554438,173202.51715,99608.763226,85198.764889,135000
442081.018468,332094.889277,172545.807237,99107.276,84661.507893,135500
442365.67076,331527.550537,171989.681418,98534.336851,84079.608847,136000
441905.173386,331163.331099,171527.369687,97964.14231,83482.575995,136500
440314.676807,330566.255762,170821.136957,97528.57958,82984.117231,137000
440018.849733,330302.734455,170239.031434,96965.973619,82422.899746,137500
439578.222814,329636.076937,169551.048899,96381.948225,81912.699557,138000
439358.797251,329260.215448,168921.505063,95823.230917,81386.569619,138500
438195.663553,328571.285027,168326.063858,95274.422793,80826.852456,139000
438335.576053,328261.857066,167728.288464,94764.731969,80275.565181,139500
436914.014157,327950.154163,167246.769941,94227.933016,79784.382723,140000
435143.528946,327812.472388,166698.901228,93707.431736,79219.507863,140500
434683.172223,327271.021424,166074.986547,93139.5483,78698.857021,141000
434891.551261,326790.444945,165522.175009,92668.520067,78163.249589,141500
434422.883309,326537.630041,164968.659456,92169.640802,77656.742576,142000
433821.309963,326117.264463,164410.389069,91685.690373,77127.330954,142500
433405.987982,325226.948356,163903.239239,91213.346543,76635.454369,143000
433209.204314,324405.054139,163324.726472,90709.221266,76160.077543,143500
432657.095112,324003.332277,162742.814134,90215.13218,75736.319884,144000
432016.538528,323351.4611,162160.01195,89527.540903,75274.179249,144500
430344.61448,322492.458391,161611.764351,89007.721581,74818.861928,145000
429298.362683,321472.402641,161036.169773,88514.309892,74367.372134,145500
429020.603553,321007.442874,160477.155344,88039.966475,73928.076297,146000
428908.536174,321037.560442,159907.072539,87520.029682,73380.065009,146500
427267.293678,320496.722088,159237.108032,86994.385585,72874.531231,147000
426319.400879,319669.662297,158695.740176,86549.293741,72349.626821,147500
426029.941672,319121.44833,158096.654973,86021.884941,71810.122768,148000
425318.021158,318499.322924,157557.268629,85485.886719,71383.384255,148500
424378.625765,318295.819756,157033.299821,84886.440046,70864.845687,149000
423049.765921,318345.428039,156466.117866,84280.88125,70310.877803,149500
421948.660853,318102.423881,155980.112945,83755.845861,69919.213351,150000
422121.654575,317562.687276,155442.257186,83187.237302,69440.726789,150500
420893.750006,317288.291349,154923.806436,82677.378275,68906.075681,151000
419760.715616,317292.394622,154389.031082,82168.670617,68405.556725,151500
419259.154505,316902.139986,153804.576862,81651.050248,68051.830146,152000
418779.047417,316376.307905,153307.080494,81171.716863,67532.222989,152500
418267.480624,316274.54009,152761.42467,80641.438072,67110.899637,153000
417685.286693,315962.197504,152119.566904,80121.880374,66629.329591,153500
417184.519423,315291.93659,151573.180256,79613.897275,66174.19657,154000
416410.605821,314676.708528,150939.772209,79117.46546,65797.185648,154500
415484.767398,314195.859895,150401.631505,78572.962147,65405.931195,155000
414721.638381,313821.138072,149854.396519,78105.050476,65018.567089,155500
414778.668779,313276.868751,149332.968908,77625.180578,64589.529094,156000
413958.866939,313268.430218,148782.132527,77103.074022,64144.215898,156500
412900.654785,312766.741913,148264.360904,76669.196346,63677.306398,157000
412017.219533,312535.531595,147699.149023,76174.303718,63201.744269,157500
411297.247893,312055.827931,147157.184932,75726.399486,62752.030406,158000
410603.068781,311465.811928,146660.676765,75213.195818,62268.223058,158500
409622.463921,311086.909427,146185.414273,74701.217316,61820.565122,159000
408894.666517,310821.146042,145660.041468,74214.632602,61434.195383,159500
407616.048352,310106.194723,145011.760954,73725.750309,61000.98537,160000
407905.28556,309709.291702,144471.369453,73162.216541,60478.023903,160500
407159.669932,309542.760148,143873.588707,72624.818907,60002.010433,161000
406142.89267,309168.180361,143273.570559,72113.094306,59535.923186,161500
405886.406459,308993.357587,142650.161823,71648.819372,59074.037804,162000
405301.985479,308484.805788,142117.408942,71188.485663,58613.751194,162500
404679.898515,308202.652586,141562.882062,70720.171762,58220.517652,163000
404102.637764,307662.990081,141004.259554,70225.599693,57817.720769,163500
403434.834918,307446.276662,140438.288719,69776.095414,57446.335826,164000
402769.660991,307008.961488,139878.243242,69339.959452,57058.957486,164500
402728.365691,306406.45232,139357.238652,68906.930246,56674.675887,165000
402386.177571,305742.74536,138810.784282,68475.043581,56268.16656,165500
402763.49725,305194.671172,138262.154004,68028.615813,55855.892601,166000
401569.627913,304579.769362,137839.527956,67614.972913,55488.256957,166500
400520.915906,304013.195162,137341.40698,67208.17917,55119.948211,167000
400307.026035,303644.315987,136790.873339,66783.405448,54704.803746,167500
399204.65392,303129.942385,136251.328208,66378.797552,54258.976903,168000
398161.943705,302626.761077,135753.804097,65941.783139,53877.813653,168500
398126.688908,302152.843937,135293.187601,65522.256375,53481.247988,169000
397107.70411,301620.563391,134765.500839,65087.3883,53108.632978,169500
396090.665835,301618.564804,134240.565843,64561.496572,52734.487896,170000
396153.26059,300602.823261,133732.67253,64076.039584,52334.051844,170500
395395.597969,300055.244478,133239.487197,63619.629647,51991.531576,171000
395777.083293,299054.376763,132720.390653,63200.559153,51589.25481,171500
394905.146628,298273.894897,132170.546698,62749.881634,51268.08701,172000
394156.208689,297812.462399,131687.760436,62278.034345,50913.679179,172500
393271.015035,297309.586895,131172.153875,61907.906543,50533.32789,173000
392748.703794,296760.680716,130663.93841,61482.834175,50151.532942,173500
391897.600972,296143.893106,130124.946524,61043.352088,49774.157223,174000
392362.620058,295299.284405,129635.368084,60650.878093,49438.689345,174500
