"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0.003333,0.003583,1,1,0,0.00375,1,500
0,0,0.004917,0.005583,1,1,0,0.006083,1,1000
0,0,0.006833,0.0075,1,1,0,0.008333,1,1500
0,0,0.008417,0.009,1,1,0,0.0105,1,2000
0,0,0.01,0.011167,1,1,0,0.013083,1,2500
0,0,0.011667,0.013417,1,1,0,0.015583,1,3000
0,0,0.01375,0.015667,1,1,0,0.01875,1,3500
0,0,0.015917,0.018417,1,1,0,0.021833,1,4000
0,0,0.018333,0.020917,1,1,0,0.028,1,4500
0,0,0.0205,0.025583,1,1,0,0.034,1,5000
0,0,0.02375,0.029917,1,1,0,0.041417,1,5500
0,0,0.028333,0.036417,1,1,0,0.049917,1,6000
0,0,0.031917,0.0425,1,1,0,0.0605,1,6500
0,0,0.037917,0.049583,1,1,0,0.075333,1,7000
0,0,0.043,0.058333,1,1,0,0.0915,1,7500
0,0,0.049417,0.06975,1,1,0,0.111583,1,8000
0,0,0.056583,0.083417,1,1,0,0.133333,1,8500
0,0,0.065333,0.09925,1,1,0,0.16075,1,9000
0,0,0.076,0.1155,1,1,0,0.186583,1,9500
0,0,0.087833,0.133167,1,1,0,0.218417,1,10000
0,0,0.101667,0.155833,1,1,0.000083,0.25325,0.999917,10500
0,0,0.115417,0.178083,1,1,0.00025,0.287917,0.99975,11000
0,0,0.1305,0.20225,1,1,0.0005,0.324083,0.9995,11500
0,0,0.147,0.22975,1,1,0.00175,0.36075,0.99825,12000
0,0,0.166583,0.2575,1,1,0.004667,0.397667,0.995333,12500
0,0.000083,0.18375,0.286083,1,0.999917,0.009167,0.433417,0.990833,13000
0,0.000167,0.20675,0.31575,1,0.999833,0.016167,0.468667,0.983833,13500
0,0.000417,0.22925,0.346583,1,0.999583,0.02875,0.503667,0.97125,14000
0,0.000583,0.253167,0.378167,1,0.999417,0.04575,0.534,0.95425,14500
0,0.001833,0.276167,0.40675,1,0.998167,0.066417,0.565083,0.933583,15000
0,0.003667,0.301917,0.436917,1,0.996333,0.0925,0.596,0.9075,15500
0.000083,0.006417,0.326083,0.466583,0.999917,0.993583,0.122917,0.62225,0.877083,16000
0.000083,0.01125,0.351417,0.494833,0.999917,0.98875,0.156333,0.649833,0.843667,16500
0.000083,0.0175,0.378,0.522,0.999917,0.9825,0.1925,0.67525,0.8075,17000
0.000333,0.0285,0.402917,0.54675,0.999667,0.9715,0.234167,0.699083,0.765833,17500
0.0005,0.041833,0.427833,0.57275,0.9995,0.958167,0.275833,0.723417,0.724167,18000
0.000583,0.0575,0.452333,0.59825,0.999417,0.9425,0.31725,0.74425,0.68275,18500
0.001333,0.075333,0.477167,0.620917,0.998667,0.924667,0.358833,0.761917,0.641167,19000
0.002583,0.098917,0.5005,0.644,0.997417,0.901083,0.397667,0.780917,0.602333,19500
0.004417,0.122417,0.522917,0.665167,0.995583,0.877583,0.439417,0.79725,0.560583,20000
0.006667,0.148,0.5435,0.686417,0.993333,0.852,0.479917,0.812167,0.520083,20500
0.010333,0.176583,0.564333,0.70475,0.989667,0.823417,0.515833,0.825,0.484167,21000
0.014167,0.206417,0.586583,0.724083,0.985833,0.793583,0.548833,0.836583,0.451167,21500
0.022333,0.242083,0.60675,0.74225,0.977667,0.757917,0.58075,0.846917,0.41925,22000
0.030583,0.275333,0.6245,0.757333,0.969417,0.724667,0.6115,0.8565,0.3885,22500
0.041667,0.308333,0.644833,0.773083,0.958333,0.691667,0.638333,0.865,0.361667,23000
0.05325,0.343833,0.662667,0.787667,0.94675,0.656167,0.6635,0.874,0.3365,23500
0.066583,0.374417,0.680417,0.80125,0.933417,0.625583,0.688583,0.8805,0.311417,24000
0.0825,0.407833,0.697333,0.813167,0.9175,0.592167,0.713,0.887,0.287,24500
0.1015,0.439583,0.712667,0.82425,0.8985,0.560417,0.733667,0.893667,0.266333,25000
0.120583,0.471917,0.729167,0.83275,0.879417,0.528083,0.752,0.898917,0.248,25500
0.14075,0.5025,0.743167,0.842583,0.85925,0.4975,0.768667,0.903583,0.231333,26000
0.161917,0.528833,0.756583,0.851333,0.838083,0.471167,0.78375,0.908667,0.21625,26500
0.1855,0.557,0.770667,0.858167,0.8145,0.443,0.798917,0.9145,0.201083,27000
0.209833,0.5825,0.783417,0.865417,0.790167,0.4175,0.811583,0.919667,0.188417,27500
0.237667,0.605833,0.794833,0.872583,0.762333,0.394167,0.82225,0.924167,0.17775,28000
0.264083,0.62875,0.805583,0.879583,0.735917,0.37125,0.833667,0.927583,0.166333,28500
0.289917,0.649167,0.815667,0.884583,0.710083,0.350833,0.845167,0.9305,0.154833,29000
0.318583,0.670917,0.823583,0.8905,0.681417,0.329083,0.854667,0.933917,0.145333,29500
0.345083,0.690833,0.830917,0.895083,0.654917,0.309167,0.8645,0.938083,0.1355,30000
0.369,0.70975,0.839583,0.899833,0.631,0.29025,0.873417,0.94025,0.126583,30500
0.393917,0.727917,0.847333,0.903417,0.606083,0.272083,0.881417,0.942667,0.118583,31000
0.421333,0.742583,0.85375,0.907417,0.578667,0.257417,0.889083,0.945167,0.110917,31500
0.444833,0.756417,0.859083,0.91225,0.555167,0.243583,0.89575,0.948083,0.10425,32000
0.471083,0.76975,0.865583,0.917167,0.528833,0.23025,0.900667,0.950083,0.099333,32500
0.495333,0.781917,0.87175,0.921083,0.504583,0.218083,0.907083,0.95175,0.092917,33000
0.517833,0.794583,0.877417,0.924417,0.482083,0.205417,0.911167,0.9535,0.088833,33500
0.539083,0.804333,0.883,0.927583,0.460833,0.195667,0.915,0.955333,0.085,34000
0.560417,0.814917,0.88775,0.929917,0.4395,0.185083,0.91875,0.9575,0.08125,34500
