"beta","lnalpha","lnalpha.c"
1.61183448039761e-05,2.03573937697041,2.21175420023436
2.26804985209906e-05,2.32673660787965,2.45504548057756
1.15608056239075e-05,1.69356150041804,1.89243914763106
2.13736267998392e-05,2.49415915126768,2.65110844911622
2.77432992418202e-05,2.69707289414101,2.81114748647255
2.39702751525572e-05,2.79306463291247,3.22307985612945
1.32159191023328e-05,2.23371476808784,2.42594546432121
6.95384199961197e-06,1.65843118084705,1.88534154059704
2.2766481253504e-05,2.39911435834395,2.47770669449737
2.37003621500094e-05,2.60931462942263,2.68172367708965
1.41628913797241e-05,3.77397837545718,4.19365101982857
1.6376740248965e-05,1.96617872393517,2.11964067862103
1.33977639338358e-05,2.06390579011115,2.2158654325205
2.44778744582128e-05,2.44629596140392,2.59430832386985
1.81033072777746e-05,2.51002690441566,2.64043303751949
