"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"D.scale",0.182984023074268,0.00224172772210671,0.179748133014201,0.181498743546853,0.182833577463613,0.18393604515397,0.187015997966441,0.980364608646914,15
"D.sum",29.8782582763758,0.728158177142373,28.5918648148035,29.5574055994486,29.9149365356058,30.3565738635796,30.9507532974252,0.980364608646914,15
"N[1]",46934.533062202,13948.8299309307,26682.6656835687,37422.3689647345,44753.4078283391,55473.1033174356,72946.6255534743,2.77066788744185,4
"N[2]",16102.9753327688,3130.8194130792,11383.1752560918,14058.9039227296,15941.8893517335,17990.0408140706,21084.0694257011,2.26746134983691,4
"N[3]",11206.1200221575,3998.97883768811,5170.97180640436,7111.87195083282,11908.782439006,14220.3733514367,16544.3237554291,6.17509849387444,3
"N[4]",29523.3693759926,3041.02339349211,25542.163274054,26984.2073041501,29272.7421365823,32600.3181808873,33911.1325206136,1.50566369602488,6
"N[5]",103301.098378449,9477.97507198775,87360.2892529214,96589.7385624901,107462.255580389,108750.683804858,116303.374904763,1.0530956305008,15
"N[6]",140572.277395661,9552.37672336124,127164.701732755,133067.130978121,138587.111687889,146691.077214382,157132.204376531,2.42827971200585,4
"N[7]",113998.874183446,11197.5814922556,102948.705698162,104800.210738132,110801.247113527,118922.997647519,134878.864059937,2.7973051413137,4
"N[8]",91609.126837498,5197.21114157666,83078.0925982532,87301.3029694659,92912.8876781439,94580.2866533874,100369.387946943,1.16018308896467,11
"N[9]",88184.6369683538,8201.26705856566,75979.7699109505,82340.7941077915,86681.3662479676,95229.6397243335,100399.187756585,2.98117786070001,4
"N[10]",128028.053026416,6827.30778537894,116613.800263617,122616.11164264,128044.3366902,133767.62655416,138193.376012354,1.48514280271614,6
"N[11]",171256.277702425,8169.43800975428,159900.641001202,167112.75202066,169109.505666342,174026.62410358,187325.140297397,1.24720620784755,9
"N[12]",180366.240406908,6633.87742355376,170870.590765799,176070.024119099,179923.975236925,185486.199778328,191969.063804578,2.69645349648309,4
"N[13]",189623.770447949,11704.7467185837,173334.332773376,179776.4067923,190239.133812636,198625.828829694,206380.860714827,2.22938157878745,4
"N[14]",193755.94930662,6327.10051224882,183898.602413142,189930.158576791,192870.050264073,197563.033411357,203809.971739513,0.924757160188905,15
"N[15]",175655.216925907,12291.5731465413,157897.928415328,166337.979082794,176417.616801137,185193.011233828,195097.104422187,2.14418618361151,4
"N[16]",171401.409284244,12676.899515564,146889.629377212,166536.087216114,170679.820165782,182241.00441464,188087.359962267,1.93105421840514,5
"N[17]",197925.790122211,11241.3010571358,182439.091750435,190909.203801925,198879.879421572,202508.065665393,220298.575779152,1.23151760070596,10
"N[18]",138346.851053097,6269.89883834017,126008.778786132,136211.142449474,137619.805503506,142996.069951707,146799.219590866,1.33160262593605,8
"N[19]",114357.148946,8102.04850705591,100122.987952746,108809.01968179,115865.392394513,118380.342554031,127595.978904843,1.49701551355462,6
"N[20]",131579.023988021,6105.22471614028,125574.582022343,127125.532286493,129906.141585765,133665.533269656,144584.343727667,2.31332673739047,4
"N[21]",180228.101551018,9608.90546366296,164278.033297655,174646.226130016,179928.868694059,187650.086063062,193599.041824787,1.41923724718409,7
"N[22]",247800.642203543,12011.3388116676,232870.18891276,241393.381142446,246017.615045444,249410.077666605,274049.927936099,1.97899168808893,5
"N[23]",219590.866875715,11491.6751705699,202532.473774646,212619.859370165,216232.670061445,227275.994633042,238923.288602682,1.35907118547168,7
"N[24]",206005.430711339,10763.1145681139,190921.121509969,198049.716296249,204879.167503124,212588.597576965,225921.610872992,1.2713507375942,9
"N[25]",155959.188422204,6869.8113453399,145321.090553893,152878.258489946,154075.181185059,159017.666694112,167957.612158698,1.8237617924412,5
"N[26]",119278.057213233,7875.55552803951,106744.456754862,115091.967410219,117675.622604616,122015.497764346,134892.510165652,2.06017640940811,4
"N[27]",148197.140765312,10646.9841427313,128870.309999348,145066.722183617,150658.040883052,154150.538843031,162631.410262247,2.31110033283388,4
"N[28]",113284.771433891,4939.8556218973,106759.997845694,109105.91922232,112923.820154246,116588.229746162,120968.784578146,1.36781443112486,7
"N[29]",110394.786652259,7633.75333119363,98225.3677435652,105518.221778537,113620.60885585,115495.361127867,121060.183926859,1.04156700954649,15
"N[30]",103321.486871695,8775.37730015859,89871.9931258173,97028.8865846959,104156.828315788,109149.209854933,115540.705170959,2.11089550512913,4
"N[31]",104573.883212284,8755.42317335665,91247.4716358254,98005.4970752815,103899.481415405,111643.482148761,119298.255997118,2.12083521530554,4
"N[32]",131464.964475692,5994.94766598628,122376.633609485,126252.871492997,131646.544483163,135658.609791829,140141.806207708,0.938582025167681,15
"N[33]",136181.045171834,7038.31886287216,122483.434581935,133007.806037679,137595.037854084,139832.646010079,146725.750150591,1.62537810526186,6
"N[34]",124039.655409068,8587.32278495198,112629.062026684,119954.793388989,123981.383894153,127838.559597725,140112.087738423,2.14405403123427,4
"N[35]",110029.053276977,12335.4736919928,90162.0760559065,103259.935657273,108939.669934254,116070.861253758,133236.698342511,1.91248658173823,5
"N[36]",104390.380804012,5100.78360172829,95738.0810782367,101462.684067373,104850.263371946,106564.661392956,112873.313439123,1.72481472063444,5
"N[37]",159988.479317656,10926.8802268302,140355.512373514,154704.356578051,158000.638881545,169879.79984808,174718.623455372,1.24893778066013,9
"N[38]",153212.517875168,11367.6802998276,137801.592080668,144535.096922833,149543.019318747,161841.837396386,171384.074778468,1.0902216753119,15
"N[39]",192163.439461207,12639.2734571449,171682.829593633,185124.196265062,190877.804935519,201785.647640951,211517.20219866,1.94716881482433,5
"N.ya[1,1]",636.572748073635,412.721831477953,61.0804970821692,186.030335621662,736.865202049736,985.598802408715,1119.6082659238,4.76925825829112,3
"N.ya[2,1]",227.131218054574,97.2182649970825,93.719203254845,171.462048709144,220.736401177893,291.022028129051,404.281106173875,1.06093865434724,15
"N.ya[3,1]",2799.9507137608,1068.18182744668,1117.88619304124,1919.53520889202,2929.15619670487,3596.11815192382,4445.29063687683,4.28861813546237,3
"N.ya[4,1]",12851.5686514776,1840.83316525735,10177.623172871,11811.1431935685,12077.9250570205,13921.1763755434,16244.4734499225,2.21312967489004,4
"N.ya[5,1]",19083.2257048965,6793.07767557743,10263.748570588,13810.1680098351,17619.6734966097,24392.6276516926,30386.0265354044,1.2957024192516,8
"N.ya[6,1]",12533.9851422593,1651.68025298816,9974.36043925695,11621.7413942284,12512.9824388634,13499.4702784855,15424.0908114276,1.06791880090685,15
"N.ya[7,1]",8717.43636361599,1680.92248948422,6339.30136081004,7305.219985233,8908.21363544169,9956.72290092971,11239.7373449608,0.93130706932187,15
"N.ya[8,1]",9219.13960185641,2152.24287983883,6077.26302813619,7674.81669763321,9118.29867745494,10166.3770483008,12949.9124664957,1.518786542828,6
"N.ya[9,1]",20697.9248695488,6004.88105711017,13487.0758423829,16813.5640672526,18135.9405459753,25518.2132290004,30834.6654969288,3.87058154587619,3
"N.ya[10,1]",17795.642298392,3806.48128785643,13117.5718704562,14242.6874784789,17400.9602904592,20185.3287355686,24855.1631412333,1.35790471763924,7
"N.ya[11,1]",23333.0703376355,7006.08999488966,13662.4423738761,18876.8637815231,22576.9752456022,27164.5897997268,34764.2212159621,2.19333805510705,4
"N.ya[12,1]",22230.670519856,7194.26005992486,13940.7404314298,18083.1685504616,19953.7908041204,24345.608836701,35543.9181703907,2.40019918799955,4
"N.ya[13,1]",16157.4703398548,4759.20290937462,11632.0387546041,13313.7210232156,14546.1929599163,18506.9572128093,26031.4944702804,2.0741471203579,4
"N.ya[14,1]",16439.6969786922,4532.77524645649,10670.0691544252,12188.0823564308,15063.3408048552,19142.6116719246,24419.0802161325,1.81147125369788,5
"N.ya[15,1]",23742.497216715,9368.02054798735,16015.0708356229,17751.320754315,20390.8016003427,24045.0010068747,43595.1870070834,2.56782264213774,4
"N.ya[16,1]",24799.3887950217,6321.23177509888,15802.6575745186,20986.7262711559,24197.9152075741,27872.934736701,36032.8290037031,1.55039640461326,6
"N.ya[17,1]",12494.7420777753,2914.95329581424,9132.57575555903,10506.0612684671,12141.1848071761,12968.479420653,18879.4934933189,1.29397179909439,9
"N.ya[18,1]",9572.18134680666,3322.92322592456,5694.39919064525,6816.62027344038,8465.80306817993,11997.8479702492,15603.3544140116,3.57087968404128,3
"N.ya[19,1]",12164.1127605956,2483.85113501792,8578.71422143125,10125.3283514128,12176.3295766413,13959.9664681984,16143.0572674705,1.61106421341857,6
"N.ya[20,1]",35513.5528095476,9691.65421956874,24596.2881054881,28820.6740836385,32347.1340840974,39536.1411113993,52932.7586868372,1.96046755489428,5
"N.ya[21,1]",30206.3328443625,6990.19431796397,19176.3504610318,24437.4798271933,30619.0206244214,35329.0120203755,40017.9430103689,1.12317539827701,14
"N.ya[22,1]",24877.7372527088,7265.35741260862,13765.2856368149,20373.7606971611,22261.7574778337,29918.0474325371,36492.1595019557,2.33614745863673,4
"N.ya[23,1]",26389.5829753704,5696.40191897214,18232.1107114228,23115.5144603116,25326.3061904245,30300.7761806116,34776.5798995763,2.24633102000252,4
"N.ya[24,1]",16078.5890706565,7843.7434649869,8859.24598969233,10236.7762568292,12323.5118486157,18590.7562333367,32050.6301859298,2.5635532127393,4
"N.ya[25,1]",16504.8826660672,5245.10766745358,9950.24036504909,11022.5682876639,17389.0581320939,21790.3090569843,23214.8516515745,2.96285345873613,4
"N.ya[26,1]",15753.8161613052,7790.09211018445,8438.13564255651,10508.9085765923,12186.9263993425,17034.9831957981,32756.1509107717,2.43115820557956,4
"N.ya[27,1]",13354.3786891793,5249.60814611442,7206.79404381997,8211.32654465276,13393.7310613091,18554.3354075374,20733.7014814248,2.56014169302676,4
"N.ya[28,1]",12791.8008664214,3987.98458360878,8890.67627745273,9969.66252086512,11438.6092190215,13732.7508548836,21253.3788443842,1.62260234084184,6
"N.ya[29,1]",10318.845149801,1692.32312018916,8233.44190880666,8944.68481199446,10389.3860228732,11004.618756931,13689.3910325725,1.12107607001216,12
"N.ya[30,1]",14415.1394942113,5251.40137048546,8109.01736145678,10297.3813668057,13647.8007642867,16823.9829140551,24283.1727320458,2.73701400186162,4
"N.ya[31,1]",16087.136251545,4378.7664573042,10801.2250816919,13055.9616651749,14328.6539127622,18171.1985517198,24670.2795908619,1.47787958744186,6
"N.ya[32,1]",16324.4016477728,7581.21838284646,7800.73862098492,9531.27738915124,14136.7720669415,22791.7634354553,28415.7225642136,6.5282872468419,3
"N.ya[33,1]",15158.4427604529,4356.40233292053,10686.5196488662,12527.1246359466,14056.4645879246,16452.4226491883,24864.0417943776,1.39494840400057,8
"N.ya[34,1]",7905.74437744192,1976.60674647627,5427.13521549308,6014.55501399684,8131.98234055804,9824.53920095168,10510.2985517336,1.01268965353935,15
"N.ya[35,1]",19505.0158919853,5001.34242807663,12026.1178879607,15760.9400528227,18434.1949893158,23465.7049762597,26969.9185940854,1.5082096283277,6
"N.ya[36,1]",16394.5618865705,3909.70472020064,10208.1179929595,14215.7242835775,16329.9938224984,18859.9742283289,23180.8187776357,1.33306564535492,8
"N.ya[37,1]",17785.0949640267,5388.25516646588,11250.759190801,13112.5975621604,17116.7602539158,21739.3706384289,26593.0158952489,2.62473473987482,4
"N.ya[38,1]",15397.7401260039,4289.73646641787,9452.4809587136,12501.7588355573,15055.5547115507,16990.5991508286,23061.8372721225,2.02856861617447,5
"N.ya[39,1]",65024.0224557939,7784.12409092885,56679.5128276299,60126.0398490224,63030.3511333182,66945.3804592533,82154.885744105,1.0601055317955,15
"N.ya[1,2]",7351.08517539656,3267.85509153815,3383.45181317312,4934.74681335167,6146.11522122082,9316.55723396602,13594.335605857,2.32215559751281,4
"N.ya[2,2]",4432.9335636073,2769.42458365547,356.565850198119,1130.14798340817,5652.95799934931,6401.46650169488,7457.8821221523,5.75220304021593,3
"N.ya[3,2]",1489.17573901976,679.39709562822,548.770771817461,1095.30666185484,1491.9580903509,1782.34649753101,2803.69539754141,1.31831626902516,8
"N.ya[4,2]",14534.2214180565,1846.86213414048,11898.8500340347,12915.3786504325,14530.9095804854,15801.6072965501,17605.6095814809,1.73831899153429,5
"N.ya[5,2]",63086.2847489402,4492.83427696053,55788.5111660172,60193.9888161964,62597.0506912271,67264.0498663792,69273.387645209,0.938703190634369,15
"N.ya[6,2]",54346.8630875533,7767.04934095,38503.0938880769,50569.7705900242,57492.6308779778,58998.329073083,63719.6108506567,1.15022044095638,15
"N.ya[7,2]",44368.3650334684,7326.39434377796,34278.5947814999,39354.5365017107,43117.465498078,48308.820271314,57961.195069301,2.55538784362965,4
"N.ya[8,2]",31477.8082377597,5287.06121593779,25421.3685773695,27915.35194899,29907.4094955498,32932.4839507125,41417.964588771,1.30277039254455,8
"N.ya[9,2]",31328.4632906247,3126.9463287005,26771.090775989,29104.4445755802,31256.4622673429,32892.9278150647,37159.2777755121,1.37831782341631,7
"N.ya[10,2]",66414.08478497,8083.04162523998,54184.5109654341,60042.2914583141,69030.6429567887,73205.8907860471,77233.0297962968,2.73605683300147,4
"N.ya[11,2]",68506.9316121367,7550.66520452772,58511.0543045258,61539.7959832738,69281.5964202944,73375.6461901405,80448.1160348918,2.5234549811541,4
"N.ya[12,2]",71262.6162367434,4010.80114366812,66493.967900606,67231.8439481381,71081.8894928727,74896.6549458135,77439.2737963584,0.946226507366747,15
"N.ya[13,2]",81820.3772902387,6433.07915416874,72915.9243765153,77269.1707529424,80449.6387584916,85483.741975876,93729.6298270686,0.960202896950742,15
"N.ya[14,2]",68793.0004118909,5414.08033865608,61344.0987819813,65252.4949534704,67773.4625069797,72041.118475972,78734.0335414316,1.05808180947803,15
"N.ya[15,2]",66215.2997787151,11971.6092756364,51995.394169774,57535.0273850002,64121.4111483536,73854.5748754607,89405.2473192388,1.56698723991013,6
"N.ya[16,2]",78670.3051778012,6347.436768923,66083.801879356,75274.6534552264,79908.1663558431,83116.32651037,86296.8273151243,1.25066672274675,11
"N.ya[17,2]",77284.0269858468,9521.53940038155,66014.6036077083,71384.6980573366,74389.759822952,80475.0167148487,97678.3629193883,1.02037352095865,15
"N.ya[18,2]",44640.5339179243,3554.00073504346,38848.5075544008,42095.4990311961,44741.0239960788,47223.7548414001,49509.449532263,1.31180730733438,8
"N.ya[19,2]",44068.5632344411,3759.96731341021,36676.7367704903,42207.4615457783,43963.6111264048,46999.5603885079,49144.101289452,1.29757291293407,9
"N.ya[20,2]",47059.3340734096,4113.68978448819,41989.6384139059,43200.6664572974,46541.3186115997,51186.1491124468,53294.1648336165,0.935234599982461,15
"N.ya[21,2]",92373.4195254303,10717.1687419615,76211.2942986022,82348.7751663295,97451.274243328,99961.5357221308,105958.799638947,2.45840052307366,4
"N.ya[22,2]",90769.1183862248,7586.66417178553,79486.8792381567,86405.1844470825,90321.1372171254,95463.0193463829,103089.338855845,0.986221609839691,15
"N.ya[23,2]",83438.0068377465,6084.43007094429,73662.7217261656,79298.1660472446,83210.9814429383,87550.0761638999,92743.217711071,1.35888346199506,8
"N.ya[24,2]",81522.7162405202,7489.5791410505,72876.8701071289,75813.5758988971,79364.3135313281,86166.432654868,93558.1791453337,1.09907135029789,14
"N.ya[25,2]",41834.2533582293,6827.04367032616,32714.3895056136,37204.1152448823,40175.4287491777,46984.399670286,54088.4233784889,2.01504273769235,5
"N.ya[26,2]",52798.1637082808,5325.79449951615,45030.9914390581,49463.8428358682,53503.4101318342,55537.5728771125,61425.5397791136,0.995542729610211,15
"N.ya[27,2]",59138.6534730161,9001.04229044304,47666.8097545229,53423.481307587,56246.0683299928,62265.2960914725,74951.0773925578,0.977072501010486,15
"N.ya[28,2]",38769.5276802438,3977.02294657162,32863.554849429,35908.2079701701,37594.9877856908,40547.0062239995,45307.1048170747,1.76267074086163,5
"N.ya[29,2]",51144.7766310179,8432.18138301071,40025.8567758187,44901.1862616074,50046.1589124318,57258.8737935552,65307.0814010241,1.23127844723829,9
"N.ya[30,2]",40081.0351048587,5142.27597907769,31494.7170631538,37343.2036863175,40879.4358525548,44307.7103203516,46694.4864934385,1.85560011741775,5
"N.ya[31,2]",39191.677110875,6182.64448051228,31504.7411384875,33634.1353402803,40545.716215997,41864.5437342252,50326.8575359601,2.35576992196541,4
"N.ya[32,2]",64356.3677934733,10045.7962713461,51350.6370892987,57811.9475967561,60910.7658643923,71316.1567688807,83414.0222111804,1.64673404627182,6
"N.ya[33,2]",42193.5113579854,4880.37832596247,32637.9300204129,39515.7880436248,42214.1078810161,45452.9179596626,48701.4098347176,1.05412754305585,15
"N.ya[34,2]",55746.3568907795,8136.67213654841,45729.0620912788,51294.3174132109,53086.6270113276,59016.6215580555,72673.8059942751,1.62001264884838,6
"N.ya[35,2]",27617.6380685625,3945.00542473301,22414.0786218122,24738.7246280148,27319.7922251126,29113.9355686653,35736.8155310992,1.07817307984327,15
"N.ya[36,2]",51181.4074072676,4086.32435210356,43773.0223812805,48308.8084150801,52512.2996210971,54099.0442535194,55625.8280037674,1.11871353412899,13
"N.ya[37,2]",60207.3877758671,7072.31076443426,48002.6219632547,55936.4759273001,60494.1157145278,63579.5574211572,71910.0077364829,1.64046550550072,6
"N.ya[38,2]",62464.0087212285,7383.13920252419,54986.3172714849,57525.7604865211,61011.6637839768,65561.3411720588,78761.4495630304,1.08276304440329,15
"N.ya[39,2]",43930.4796272936,5805.50899134813,29692.1563379169,43058.2364791534,45180.3291457419,46756.6759671017,49514.6259534441,1.4509308262964,8
"N.ya[1,3]",38946.8751387318,15600.4070372698,17752.9627973677,26688.0909922126,37653.9605954039,46586.7674374391,67522.5454961975,3.69682568889782,3
"N.ya[2,3]",11442.910551107,5618.79119712758,4434.96998614413,7716.15604080595,10151.9300624599,16416.5073675722,20354.5836057103,3.42647771485378,3
"N.ya[3,3]",6916.99356937694,4423.31443300159,521.784604917362,1560.79676355905,9383.41793986174,9995.54862706611,11547.4075618965,6.35806093434504,3
"N.ya[4,3]",2137.57930645849,897.040014896112,824.243331037286,1606.79922519528,1938.11968069594,2617.20584079101,3823.73247963311,1.28133106735075,8
"N.ya[5,3]",21131.5879246124,3020.35714957313,16965.0901584735,18960.6806745331,20677.6335503833,23015.4953476853,26353.5356035446,2.33321418869837,4
"N.ya[6,3]",73691.4291658483,8217.46072703639,57489.4959929102,70407.7599386837,75224.5816171493,79089.4882504263,84781.1909917638,1.64094932802633,6
"N.ya[7,3]",60913.0727863616,6072.52914026585,50905.0032189747,56859.6661023708,61447.8793230607,65009.6272365488,70290.1302659319,1.34779973853843,8
"N.ya[8,3]",50912.1789978819,8505.38784231277,38569.7490151357,45137.1500713467,49491.3567361963,57467.1922014832,65320.0765077009,1.20170901384201,10
"N.ya[9,3]",36158.2488081803,4720.28982282781,26973.7998299816,34002.4937642023,36498.8455439997,39081.2927073163,42982.3287473654,1.10232752498801,15
"N.ya[10,3]",43818.325943054,5673.87907090874,37273.1617645343,38808.2318306168,42153.9861151827,47868.4824236303,53267.7139164905,1.75194736558459,5
"N.ya[11,3]",79416.2757526531,7027.52886850783,72237.6546086305,72769.1284846527,79168.9460243054,85330.4452100815,91521.2614866905,1.41950764092689,7
"N.ya[12,3]",86872.9536503082,9513.27410790693,73826.0786362292,77508.2313453735,86433.3718290867,92942.4570561761,103106.020701464,2.32804277358008,4
"N.ya[13,3]",91645.9228178557,9470.24360705574,73706.9958115715,84901.6132855244,93672.9403105816,98304.0820024016,103059.819150217,1.75566942018672,5
"N.ya[14,3]",108523.251916036,7254.11399955358,96786.824197937,103431.947202839,108817.471293032,114139.130494845,119664.219674218,1.19128785445748,10
"N.ya[15,3]",85697.4199304768,8977.81395488388,69504.4038364835,79462.4003819829,86797.8083057746,92334.3476833133,97257.2913402027,1.05387835277953,15
