"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"D.scale",0.183636166334598,0.00289723790686564,0.178942653962413,0.181519636595347,0.183979823095342,0.185279434983859,0.18860120007642,1.7184226025593,5
"D.sum",29.6747119424306,0.937394569019347,28.1132526988063,29.1303407438927,29.5433409221519,30.3495861361811,31.2300192219486,1.7184226025593,5
"N[1]",57054.4015811462,5248.4343936399,49572.0740721884,53076.5763772507,55564.5590098976,60514.6549238641,66071.2070130234,1.09096562120596,15
"N[2]",54041.4280679031,26326.2934389575,20057.4889037716,22979.2291116409,56851.0312793526,75875.3946075418,91645.5012611582,13.375386866975,3
"N[3]",8933.85240029497,2403.70366179879,5458.37313005786,5994.80435163848,10092.4741467199,10681.3622257245,11406.8616181225,9.23987045650147,3
"N[4]",27441.3040013698,1902.89037299677,24310.0410583246,26000.0015570383,27183.9720385619,28872.0055697826,30371.1450262857,2.134683744571,4
"N[5]",96902.0379298382,7670.46698563298,86499.0931195156,92212.8967741824,94100.7135714737,101888.618584548,111125.043513788,1.77461210308557,5
"N[6]",136116.246425596,8250.83225696033,126197.324012171,128276.349132001,136080.516175114,140718.824156983,150580.786376754,1.73269475223686,5
"N[7]",115390.918907651,6790.58416125681,103802.152125335,110426.896008299,117136.130519301,120949.54849986,123739.630391755,1.70489881069432,5
"N[8]",91583.2995453215,4398.49274300497,82335.9993873821,88817.4733018208,93452.3643609913,94521.5997972805,96321.1064564502,1.02677798789555,15
"N[9]",85032.6402469016,4838.85185342527,78791.9170334862,81290.6835197314,84251.441565941,87358.338209546,93067.0866975933,1.94046987219444,5
"N[10]",122517.609352593,7113.32416762353,112783.752232114,115124.910750691,122165.295415742,129228.375067722,131984.374679912,2.95546892175974,4
"N[11]",173649.188382358,7095.31348166497,163371.776017839,167430.089322629,175403.889306741,179358.419497465,184028.521759608,1.39702615204762,7
"N[12]",183136.948271359,7034.52351111502,170474.811201844,177989.167888671,185514.980301882,188580.350063004,192032.509747486,2.52150327214933,4
"N[13]",200886.976728228,7124.28648198631,191412.484084451,196829.591394177,200220.887962355,202955.244699291,215827.699513664,1.56181687511377,6
"N[14]",199184.397718622,5302.78902602778,190493.031613403,195610.462125457,199204.989109514,201288.555284573,208614.804933536,1.06693229881754,15
"N[15]",174616.365977045,10864.3319530415,158757.764288483,167283.038259988,171375.318189213,184491.194000497,191504.24159082,2.01374736228821,5
"N[16]",171380.358988599,8637.55778299772,154427.159325169,168348.203466222,172248.847142098,176937.782760947,183381.435433209,1.16846828247054,14
"N[17]",202775.577343209,6387.01421242385,193346.032063384,198899.287394536,202508.006175023,205565.659363156,214408.4265957,1.17149709582999,10
"N[18]",138328.385688562,5616.91750018774,130521.415861141,133977.197797797,138873.673268224,141514.53352438,147669.342956885,1.80982339325423,5
"N[19]",112044.246145463,6719.16164995506,101836.271803113,107385.769671062,112691.434987017,115342.088532115,124698.851048372,1.21303096232042,11
"N[20]",129893.436894719,13422.1225439165,113428.450071101,120997.629908629,125496.5364464,138165.560535331,153833.455648207,2.5425460379042,4
"N[21]",182918.912093739,10130.2923217398,161675.019430957,178717.752143777,184965.485388558,190209.166391723,195009.086559697,1.93338392741263,5
"N[22]",265266.160689604,14379.3371195399,240361.36140617,255696.807628117,270834.971562988,274810.413012902,285151.619360593,1.10009631656866,13
"N[23]",216963.375575477,10856.0462594385,202219.231583913,206479.06927039,219574.517936886,225557.544775374,231074.959079266,1.00676277817453,15
"N[24]",207272.487437103,9365.28908986561,191696.396601731,203046.276059408,208757.674667553,211614.051761575,223258.990243627,1.35489883575982,8
"N[25]",156963.147520812,7322.24450927273,144450.521791726,153256.763838784,156592.950935984,161063.325902081,169533.277011575,1.12748480015541,12
"N[26]",121305.700789387,8296.45084721851,112809.335046041,115186.884896043,117896.877571566,124212.867847094,138226.007703561,1.70007138910057,5
"N[27]",142838.654010965,7222.0203648578,132050.730360303,137952.85155112,142132.35069508,148171.310530439,154734.083379236,1.13242879405719,12
"N[28]",111122.873812276,10659.53805815,93792.6935884246,103402.159529518,111659.846674547,118074.985349242,126854.836692806,3.34672011409594,4
"N[29]",107827.917672127,6014.00781364113,95109.5184828688,106282.246409081,109072.012509569,111351.72700739,115238.353438252,2.12619291703865,4
"N[30]",103378.901047023,6138.4393993701,95517.1392636233,98705.8393987756,102146.733874794,107116.304848906,114859.019758596,1.18639058928524,10
"N[31]",103579.317145785,3900.20588740892,97359.5741138546,101479.176686731,103096.648660534,105373.036424548,111100.175439873,1.07465010559218,15
"N[32]",127890.293863474,5719.67208166644,119686.437101381,124361.922325355,127029.896297902,130834.299065071,138895.7425816,1.86255550428578,5
"N[33]",144785.491238763,5616.31870694982,137311.566649693,141742.295167839,143080.351551046,149363.190282318,154771.962005049,1.25979208873395,9
"N[34]",125542.907820388,7206.97228494606,113266.372560836,121997.602345463,125417.307032919,129749.400464754,137302.320517256,1.25909594928659,9
"N[35]",115059.344262064,8524.22568919748,102971.540911566,109092.943809724,115931.273961446,118887.412270829,130154.429963197,3.23734905175386,4
"N[36]",112564.279168098,6921.17797849719,100911.675073155,108332.870157881,113973.872693871,117882.646160439,122003.075160044,1.47865179902007,6
"N[37]",160314.057916091,15955.9986834103,134626.295279442,146230.793384938,162488.985458064,170957.650316285,182216.284202923,3.57999600140152,3
"N[38]",153504.1929365,9720.88328037537,139380.139556942,146401.52898202,155226.566520332,159153.901754155,171126.395137354,1.55929312048716,6
"N[39]",190550.929204211,15635.158537209,168821.088833508,178051.671363653,189842.861912049,201604.963381095,215589.354082164,2.30063481986363,4
"N.ya[1,1]",554.779759069737,277.757108912352,180.607812080703,317.90898954281,543.224078950126,773.187935525967,975.554646935609,2.28419680649858,4
"N.ya[2,1]",335.12398583872,203.043282172189,92.3820443559187,185.081009295634,280.061063664745,418.616172504858,716.728396675351,1.16366694659649,11
"N.ya[3,1]",1790.38461175234,383.599378555994,1076.15731416192,1635.74954997325,1798.24997289466,2068.35486387004,2396.91365931281,1.30778066150799,9
"N.ya[4,1]",11955.5414596947,1878.1076708563,8921.41940726862,10663.1710817528,11927.4276097016,13091.9362021763,14852.4180683298,2.71900072362023,4
"N.ya[5,1]",18245.1002185505,5567.09572384772,10927.6244763933,13362.4903468996,17227.5346931049,23331.0520008396,26074.5663760636,2.15607495937943,4
"N.ya[6,1]",10728.6069152191,1938.98926389539,8014.23927854946,9408.32970000396,10193.4347133017,11612.9411173998,14100.8959192695,1.12097574092205,13
"N.ya[7,1]",6549.61657188565,1588.11646193024,4742.62762092234,5146.11162398094,6549.24705602279,7489.48810632293,9524.80403712045,1.20557691402381,10
"N.ya[8,1]",8267.69583531923,2114.5770769323,5465.22182960509,6660.78623046172,7342.68432858228,10007.3255556061,11504.0573780345,1.54960981828041,6
