"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","313572.569470361","767676.154885267",63891.1801091176,"71240.8152910523","161633.764660118","1051100.83150157",0.0832267352613895,"false"
"S.eq","174186.390461784","198499.031601237",16158.8900585237,"96230.3545437199","138620.398348384","354951.232347805",0.0814053848433134,"false"
"S.max","84562.3354474151","169811.12256793",13910.4689049987,"36738.6577841421","59008.4212655899","184761.4838056",0.0819173013795609,"false"
"S.msy","57394.6647280133","81003.3848059148",6632.66111464859,"30328.4713182206","45910.8877702131","109610.787508502",0.0818812834863695,"false"
"U.msy","0.749259251209825","0.177219335451432",0.0145066755308341,"0.533152313689075","0.769146185652076","0.892691253741421",0.0818571827610187,"false"
"alpha","7.65941886952336","7.68735586324386",0.630744755084507,"2.21655011669409","5.8777090909897","20.4858319382063",0.0820496366117686,"false"
"beta","0.0000169461596541413","0.00000565020312129593",0.000000456627042464356,"0.00000545088665938231","0.000016946819775304","0.0000272280156515904",0.0808160401779724,"false"
"lnalpha","1.82371128113785","0.585987802670989",0.0480556106169861,"0.794793274963153","1.7711629970171","3.01959227933635",0.0820078684196907,"false"
"lnalpha.c","2.44977449979381","0.89365244566742",0.0706812099164126,"1.35598821098423","2.28743459548947","4.54734209889506",0.0790925043165128,"false"
"resid.red.0","0.0150383602581068","0.852396672766793",0.0538805859205913,"-1.75642013099112","0.157414360088461","1.60137076643173",0.0632106947880267,"false"
"sigma.red","1.07119055136228","0.324622506607424",0.0289257906550275,"0.763621296644909","1.00190133995043","2.10441530579725",0.0891059309390658,"false"
"sigma.white","0.806264607494615","0.10282088152466",0.00841397825700829,"0.655746991535437","0.802621168870613","1.0424380341528",0.0818314152946677,"false"
"Smsy_lambert"," 58756.92"," 81329.08",NA," 32553.73"," 46298.79","114749.77",NA,"NaN"
"Umsy_lambert","0.7755685","0.1035834",NA,"0.5523141","0.7787860","0.9715700",NA,"NaN"
"Smsy_lambert80"," 47005.54"," 65063.26",NA," 26042.98"," 37039.03"," 91799.82",NA,"NaN"
