"","variable","Point est.","Upper C.I.","point_estimate","converge"
"1","MSY",1.12966945148287,1.30654100459176,"Point est.","false"
"2","S.eq",1.23469649604868,1.69813685115212,"Point est.","false"
"3","S.max",1.26932891209254,1.96030247877721,"Point est.","false"
"4","S.msy",1.23069838996247,1.63796559457523,"Point est.","false"
"5","U.msy",1.05528772663928,1.1766363358727,"Point est.","false"
"6","alpha",1.0152414807856,1.04933598560423,"Point est.","false"
"7","beta",1.02469517798712,1.10341520714075,"Point est.","false"
"8","lnalpha",1.01714406910701,1.06785968021581,"Point est.","false"
"9","lnalpha.c",1.01654937336244,1.05935089499034,"Point est.","false"
"10","resid.red.0",1.03860161151988,1.14650411255492,"Point est.","false"
"11","sigma.red",1.00143320321618,1.02189823064327,"Point est.","false"
"12","sigma.white",1.00675485953097,1.03566327430784,"Point est.","false"
