"","variable","chain1","chain2","chain3"
"1","MSY",1.20958783440939,-1.08361332583158,-0.666802471542945
"2","S.eq",-2.8428257410732,-0.243390837109853,1.10962390732685
"3","S.max",-2.89877023832545,-0.360403024024124,0.715724828464697
"4","S.msy",-1.45737659498977,0.306537577048913,0.800213363652871
"5","U.msy",1.68186358619989,0.562137691382775,-0.529626147736881
"6","alpha",0.595118887986093,-0.536080475908562,-1.10636292363515
"7","beta",2.30408193211751,-0.682945314994562,-0.956686055353276
"8","lnalpha",1.5313792165485,0.352411978823636,-0.62748413015369
"9","lnalpha.c",0.621810644673402,-0.648623032713567,-0.756143074304901
"10","resid.red.0",1.7944829065921,-1.06109274325657,0.421245738546294
"11","sigma.red",-1.19106311985399,-1.86517831038615,-0.60217016460129
"12","sigma.white",0.387024337274355,-0.943106583025397,-0.175775822770587
"13","frac1",0.1,0.1,0.1
"14","frac2",0.5,0.5,0.5
