"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"D.scale",0.182963536431919,0.0028645858727744,0.178313218378497,0.181364766738534,0.182743044922158,0.184315554493583,0.188026730232443,0.964059263947617,15
"D.sum",29.8929182577659,0.93390450534214,28.2853015069267,29.4358123548804,29.9445841327015,30.4014401201908,31.450888769557,0.964059263947616,15
"N[1]",94524.0894401285,34018.1696576312,47538.416614534,66417.0556147843,99985.9551035349,114559.961043218,147821.586348383,4.18698493351333,3
"N[2]",69563.1304749553,30784.4384940511,42444.9401784716,48043.1871934069,51045.0368574325,99136.6146959017,122621.813887204,7.68580315330318,3
"N[3]",12024.6825301121,1790.55383575885,9346.23277801826,11370.738030764,12048.0868294313,12458.6976728421,15684.8357080256,1.183306322195,14
"N[4]",29479.6089460427,3861.58880704391,24107.289786691,27270.5288262347,28897.3939381952,30175.9232444166,37750.9553784767,1.28622596523025,11
"N[5]",92679.7424253664,6268.28446638593,82865.4515301403,88082.3500209129,93117.0470971315,96476.6983977125,101809.257701644,1.40247970842722,7
"N[6]",139047.489365665,6028.53730230705,129531.078520673,135184.759103714,138206.824792807,143898.025556935,148248.993932962,1.98246901843718,5
"N[7]",120189.896818066,18856.9982798887,95312.4195849214,105019.988929089,120583.207075028,131730.320426563,150993.781132629,4.48691826601364,3
"N[8]",89668.695125516,4549.37066847399,80783.9533823813,86895.1092616435,91020.8409735721,93715.7760191554,94771.6360745695,0.992747833628842,15
"N[9]",93974.2398669106,11389.4683234105,79410.9554975886,87138.6818833694,92921.6186206387,96625.3331872724,118748.152819781,2.27788270019021,4
"N[10]",125517.837343293,10768.7444519767,112789.876756525,118837.599658204,123881.234543286,126280.758302254,148449.180490818,1.09256297865425,15
"N[11]",166421.251934743,7824.3888470908,157014.835122287,161994.966368052,163147.229115784,169023.630405249,181878.669469635,0.986095904434536,15
"N[12]",185762.043513811,9524.0792423398,176129.090026184,179508.815050416,181074.065751705,191091.995989282,204100.337956522,1.39229896531359,7
"N[13]",201873.686979661,12054.6024704396,181716.162412955,194036.467885473,202353.594246114,212623.694105874,216650.61053789,1.81433983666317,5
"N[14]",202212.215658915,8535.78014875506,187789.825312578,197750.264034392,200870.444621208,206909.12602575,217451.204371643,1.0975442843642,15
