"","variable","Mean","SD","time_series_se","2.5%","50%","97.5%","mc_error","converge"
"1","MSY",287538.393964468,731339.114520239,60224.2532510639,62373.5286859777,156198.659823134,952572.387573908,0.0823479177516318,"false"
"2","S.eq",173954.667885734,92527.470132669,8359.70000207656,101330.608264786,150001.047437153,375931.271161005,0.0903483040235526,"false"
"3","S.max",79082.2932654597,36273.783850593,3164.88114251493,39176.9853392088,69315.0443457347,179775.343476936,0.0872498208499745,"false"
"4","S.msy",52406.7497583882,36077.8178355613,2963.47403521268,32104.4880363154,50416.6049564117,108989.116705197,0.0821411663177597,"false"
"5","U.msy",0.684096719720488,0.473450758219159,0.0386739437396957,0.46976680800458,0.744100598843328,0.889282014709988,0.0816852504052673,"false"
"6","alpha",14.5566818790679,100.614993199927,8.21444944359995,2.3350583789068,5.36925343947819,17.3582904949124,0.0816423992324629,"false"
"7","beta",1.46259762290531e-05,5.01740342439074e-06,4.05816189626146e-07,5.56264639440361e-06,1.44269250477854e-05,2.55255165453641e-05,0.0808817141658135,"false"
"8","lnalpha",1.73452335998586,0.681110090927848,0.0651449019612211,0.848028264691734,1.68068693995206,2.84190788035288,0.0956451869219511,"false"
"9","lnalpha.c",2.36248494208787,1.2373170233534,0.115313065379822,1.34923337562393,2.14883697469889,4.54986753842756,0.093196055015309,"false"
"10","resid.red.0",-0.0340099969747858,0.942626657494762,0.0576955240095705,-1.7538282578151,-0.0286373416794857,1.40529954829353,0.0612071847860839,"false"
"11","sigma.red",1.04755402724607,0.399522018365643,0.0300570919899443,0.715591459889003,0.944959246307913,1.98810410843433,0.0752326295128897,"false"
"12","sigma.white",0.771621576603069,0.0974410690734675,0.0085952640409553,0.616989450892329,0.759516802725665,0.973012067487592,0.0882098700546351,"false"
