"","variable","Point est.","Upper C.I.","point_estimate","converge"
"1","MSY",1.26710612770468,1.7750719494098,"Point est.","false"
"2","S.eq",1.04457519478043,1.07771996552325,"Point est.","false"
"3","S.max",1.01085130849089,1.02169047943779,"Point est.","false"
"4","S.msy",1.04542198440767,1.0511397639471,"Point est.","false"
"5","U.msy",1.13731497050876,1.22726443765248,"Point est.","false"
"6","alpha",1.2887714150755,1.82416630890918,"Point est.","false"
"7","beta",1.01979451866057,1.07533757279617,"Point est.","false"
"8","lnalpha",1.07776564693812,1.14368399183633,"Point est.","false"
"9","lnalpha.c",1.06261214453543,1.07773304551275,"Point est.","false"
"10","resid.red.0",1.06174294049269,1.19591717125832,"Point est.","false"
"11","sigma.red",1.03502220647052,1.03544954991802,"Point est.","false"
"12","sigma.white",1.01425725262999,1.06305909680289,"Point est.","false"
