"X","variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
1,"MSY",251715.115269571,378814.646013356,30502.3072057723,61945.0868450786,163413.400216886,803620.823859883,0.0805204010108332,"false"
2,"S.eq",230422.260295213,563861.091772023,46179.3940687606,99085.5563003756,156101.72787308,507156.546256923,0.0818985291636892,"false"
3,"S.max",99142.46058812,127121.966942119,10448.853273149,39781.2392460394,72158.187617823,295551.617602726,0.0821954971630242,"false"
4,"S.msy",59940.3619216127,75930.3626457485,6190.57202862393,31970.2844611623,52366.8892511818,136005.699249546,0.0815295991342214,"false"
5,"U.msy",0.723759350800102,0.162826419523697,0.0128833626430381,0.445449304171309,0.743068329353063,0.887911402205814,0.0791232938777673,"false"
6,"alpha",6.38010103499171,4.62976059319966,0.358197776862954,2.08738657248659,5.18273445467583,15.5664158858357,0.0773685311912427,"false"
7,"beta",1.42337303215799e-05,5.52195258086306e-06,4.49165239890734e-07,3.38909022422057e-06,1.38584746049752e-05,2.51396397110117e-05,0.0813417415874534,"false"
8,"lnalpha",1.69627295715477,0.535840237108707,0.0439802611666355,0.735297645569856,1.64533250931624,2.74505728932754,0.0820771904027676,"false"
9,"lnalpha.c",2.27623213681627,0.862034198374628,0.0674415441925064,1.29422773355873,2.12824275583681,3.87679261604174,0.0782353464858679,"false"
10,"resid.red.0",-0.0816979691812028,0.824175631642816,0.0729261586414839,-1.83820090099502,-0.014430133716413,1.3151739065789,0.0884837598220677,"false"
11,"sigma.red",1.03103724524486,0.312299156786821,0.025607909861832,0.716326133935888,0.952731994420413,1.67184691051383,0.0819980115390204,"false"
12,"sigma.white",0.779530327714665,0.110283160771188,0.00745973325330842,0.622690820042886,0.760093611200774,0.995900059041266,0.0676416345083331,"false"
2,"Smsy_lambert",69882.09,84892.31,NA,32950.15,53305.61,176578.33,NA,NA
3,"Umsy_lambert",0.7463005,0.1113579,NA,0.5328295,0.7483814,0.9465705,NA,NA
4,"Smsy_lambert80",55905.67,67913.85,NA,26360.12,42644.49,141262.66,NA,NA
