"","MSY","S.eq","S.max","S.msy","U.msy","alpha","beta","lnalpha","lnalpha.c","resid.red.0","sigma.red","sigma.white"
"Lag 0",1,1,1,1,1,1,1,1,1,1,1,1
"Lag 10",-0.00557905341957654,0.00600110643520072,0.0188635725734354,0.0161413941975954,-0.0124491422136518,0.0212818035207075,-0.00232285763389081,0.0298811132644386,0.00890176924480375,0.017455177135795,-0.0203509723528534,0.0125474399119676
"Lag 50",-0.00325949580416149,-0.00925854848422634,-0.00243689459134195,-0.00488313760980974,-0.0117895224446758,0.00391548980118304,-0.0265482238461641,0.00817182648337799,0.0236809608769999,-0.00258376875145791,0.0361437442886223,0.0171970425458791
"Lag 100",0.00472968211969454,-0.0103487546560673,-0.010169587171491,-0.0039503101667327,-0.0277995823801655,0.0147623050956569,0.0143483365785755,0.0159312473767106,0.0207766993327876,-0.0220395482010114,0.030742270937718,-0.00111961709166461
"Lag 500",-0.00514368146099055,-0.003419212953676,0.000968301652376445,0.00151987548902201,0.0026858648653757,0.0271823149110171,0.034882374815692,0.0522070727415679,0.042061575704453,0.0067513821322112,-0.0025485296846588,0.0165196014824706
