"","variable","point_estimate","Upper C.I.","converge"
"1","MSY",1.00971686249909,1.01032732056388,"true"
"2","S.eq",1.20327948095669,1.20972021105545,"false"
"3","S.max",1.2594478757126,1.28802427414372,"false"
"4","S.msy",1.22088098678464,1.2376846061641,"false"
"5","U.msy",1.17901336443357,1.19300658120632,"true"
"6","alpha",1.14922848844044,1.15651283135173,"true"
"7","beta",1.00098714476609,1.0043156998331,"true"
"8","lnalpha",1.0011017657657,1.00334692861627,"true"
"9","lnalpha.c",1.01856742245906,1.0236187261164,"true"
"10","resid.red.0",1.00054008376098,1.00147310392063,"true"
"11","sigma.red",1.00872481696979,1.01208281643632,"true"
"12","sigma.white",1.00018690889003,1.00191037781489,"true"
